sale_id,product_id,store_id,quantity,sale_date,discount
1001,1,1,10.0,2022-03-15,10.0
1002,2,2,5.0,2023-06-20,5.0
1003,3,3,20.0,2024-01-05,10.0
1004,4,4,15.0,2023-11-12,5.0
1005,5,5,25.0,2022-12-30,10.0
1006,6,6,18.0,2024-07-10,0.0
1007,7,7,22.0,2025-04-18,0.0
1008,1,2,5.0,2025-05-22,0.0
1009,3,1,10.0,2024-09-14,0.0
1010,5,3,30.0,2023-02-28,0.0
1011,6,4,8.0,2022-10-09,0.0
1012,8,1,1.0,2024-06-01,0.0
1013,9,2,10.0,0000-00-00,0.0
1014,10,3,5.0,0000-00-00,0.0
1015,11,2,0.0,2025-01-01,0.0
1016,12,0,12.0,2024-08-15,0.0
